ID_REF,VALUE
1007_s_at,5.784551006
1053_at,5.996927995
117_at,2.980048429
121_at,4.075789787
1255_g_at,2.267998247
1294_at,3.177851553
1316_at,3.337307166
1320_at,3.237453316
1405_i_at,3.017433454
1431_at,2.759251471
1438_at,2.842204805
1487_at,4.61076018
1494_f_at,2.993279473
1552256_a_at,4.744146917
1552257_a_at,5.040515802
1552258_at,3.454006827
1552261_at,3.31864618
1552263_at,5.062174992
1552264_a_at,5.806952882
1552266_at,2.809592874
1552269_at,2.525724475
1552271_at,2.640136095
1552272_a_at,2.574375258
1552274_at,4.387610875
1552275_s_at,5.045266793
1552276_a_at,2.575756569
1552277_a_at,9.933155429
1552278_a_at,3.043683091
1552279_a_at,3.146211228
1552280_at,2.677486367
1552281_at,3.638676291
1552283_s_at,2.512525131
1552286_at,3.642491652
1552287_s_at,4.956069726
1552288_at,3.744537194
1552289_a_at,2.455465951
1552291_at,7.197643141
1552293_at,2.91685955
1552295_a_at,5.548502565
1552296_at,2.857215252
1552299_at,3.280332704
1552301_a_at,3.823202109
1552302_at,4.058236776
1552303_a_at,3.84795741
1552304_at,3.08254252
1552306_at,3.459107429
1552307_a_at,3.877144278
1552309_a_at,10.70623606
1552310_at,5.787762068
1552311_a_at,3.302368212
1552312_a_at,4.75720502
1552314_a_at,4.043754591
1552315_at,2.866028801
1552316_a_at,2.643134397
1552318_at,2.76473344
1552319_a_at,3.086630143
1552320_a_at,3.058296392
1552321_a_at,2.771368684
1552322_at,2.378818865
1552323_s_at,2.948783233
1552325_at,3.464744776
1552326_a_at,2.380919434
1552327_at,3.006819508
1552329_at,4.531304156
1552330_at,4.865640292
1552332_at,3.671338907
1552334_at,4.185479881
1552335_at,3.236250775
1552337_s_at,2.026078038
1552338_at,2.026621684
1552340_at,2.922723889
1552343_s_at,2.736325831
1552344_s_at,5.536975209
1552347_at,4.892621481
1552348_at,2.961741053
1552349_a_at,3.325871189
1552354_at,3.065097642
1552355_s_at,2.820267692
1552359_at,2.508948273
1552360_a_at,3.815179273
1552362_a_at,2.920949562
1552364_s_at,3.287753255
1552365_at,2.890127159
1552367_a_at,3.103285269
1552368_at,2.665372098
1552370_at,3.597303636
1552372_at,2.454358041
1552373_s_at,2.891010591
1552375_at,3.411293148
1552377_s_at,3.483438594
1552378_s_at,7.127339943
1552379_at,2.282884216
1552381_at,2.401080598
1552383_at,3.668555893
1552384_a_at,3.007568507
1552386_at,2.867342739
1552388_at,2.965449354
1552389_at,3.263363204
1552390_a_at,2.926310129
1552391_at,3.698510886
1552393_at,2.771971701
1552394_a_at,2.861222555
1552395_at,2.818265764
1552396_at,2.989929162
1552398_a_at,2.407727489
1552399_a_at,2.937799068
1552400_a_at,3.44194662
1552401_a_at,2.820801579
1552402_at,3.168395412
1552405_at,3.142376261
1552408_at,2.464251661
1552409_a_at,3.293638835
1552410_at,3.127834406
1552411_at,3.113091895
1552412_a_at,3.027847746
1552414_at,3.459636094
1552415_a_at,2.637387892
1552417_a_at,4.679948486
1552418_at,2.45489652
1552419_s_at,3.04638155
1552421_a_at,2.5730606
1552422_at,3.588323762
1552423_at,3.98771422
1552424_at,3.18165781
1552425_a_at,2.42382139
1552426_a_at,8.988442884
1552427_at,3.573601252
1552430_at,3.202892989
1552432_at,3.12809887
1552436_a_at,2.104589832
1552438_a_at,2.635010282
1552439_s_at,2.83712554
1552440_at,3.10336472
1552445_a_at,3.35888548
1552448_a_at,2.352789853
1552449_a_at,2.72229147
1552450_a_at,3.245709772
1552452_at,2.758856093
1552453_a_at,2.471838672
1552455_at,2.785033837
1552456_a_at,3.222164965
1552457_a_at,2.906174122
1552458_at,3.249603215
1552459_a_at,3.158513618
1552461_at,2.548344049
1552463_at,3.043337377
1552466_x_at,3.177773982
1552467_at,4.282946221
1552468_a_at,3.301109069
1552470_a_at,2.382727759
1552472_a_at,4.624278176
1552473_at,3.797523131
1552474_a_at,6.04618817
1552476_s_at,2.609889803
1552477_a_at,2.716970621
1552478_a_at,2.767750343
1552480_s_at,2.93678057
1552481_s_at,3.97561282
1552482_at,3.027294318
