Part URI,Name,Description
https://synbiohub.org/public/igem/BBa_K1510929/1,BBa_K1510929,Circuit injected in Streptococcus mutans that allows S.m. yield N-Acyl homoserine lactone.
https://synbiohub.org/public/igem/BBa_K1367003/1,BBa_K1367003,"This plasmid containing siRNA for LAR gene in Camelia sinensis, used to knockdown gene LAR."
https://synbiohub.org/public/igem/BBa_K1367004/1,BBa_K1367004,siRNA for LAR ( leucoanthocyanidin reductase) gene in Camelia sinensis
https://synbiohub.org/public/igem/BBa_K1420006/1,BBa_K1420006,phsABC Generator
https://synbiohub.org/public/igem/BBa_K1336007/1,BBa_K1336007,LacI Expression Cassette with BsDyP gene
https://synbiohub.org/public/igem/BBa_K1366000/1,BBa_K1366000,Genetic construct for lpp gen deletion
https://synbiohub.org/public/igem/BBa_K1366001/1,BBa_K1366001,Genetic construct for lpp gen deletion
https://synbiohub.org/public/igem/BBa_K1366002/1,BBa_K1366002,Genetic construct for lpp gen deletion
https://synbiohub.org/public/igem/BBa_K1366101/1,BBa_K1366101,Genetic construct for lpp gene deletion (C1)
https://synbiohub.org/public/igem/BBa_K1366102/1,BBa_K1366102,Genetic construct for msbB gene deletion (C2)
https://synbiohub.org/public/igem/BBa_K1682005/1,BBa_K1682005,<i>P<sub>kdpF</sub></i> - GFP generator
https://synbiohub.org/public/igem/BBa_K1682007/1,BBa_K1682007,"<i>P<sub>kdpF</sub>[-15, T>A]</i> - GFP generator"
https://synbiohub.org/public/igem/BBa_K1682008/1,BBa_K1682008,"<i>P<sub>kdpF</sub>[-15, T>C]</i> - GFP generator"
https://synbiohub.org/public/igem/BBa_K1682009/1,BBa_K1682009,"<i>P<sub>kdpF</sub>[-15, T>G]</i> - GFP generator"
https://synbiohub.org/public/igem/BBa_K1695002/1,BBa_K1695002,RBS + Bacteriophage 21 codon optimized S gene
https://synbiohub.org/public/igem/BBa_K1695004/1,BBa_K1695004,RBS + Bacteriophage 21 codon optimized R gene
https://synbiohub.org/public/igem/BBa_K1695006/1,BBa_K1695006,RBS + Bacteriophage 21 codon optimized Rz gene
https://synbiohub.org/public/igem/BBa_K1695008/1,BBa_K1695008,RBS + Bacteriophage 21 codon optimized S mutant gene
https://synbiohub.org/public/igem/BBa_K1695010/1,BBa_K1695010,RBS + Bacteriophage 21 S mutant gene
https://synbiohub.org/public/igem/BBa_K1695012/1,BBa_K1695012,Riboswitch +  Bacteriophage 21 codon optimized S gene
https://synbiohub.org/public/igem/BBa_K1695013/1,BBa_K1695013,Riboswitch +  Bacteriophage 21 codon optimized R gene
https://synbiohub.org/public/igem/BBa_K1695014/1,BBa_K1695014,Riboswitch +  Bacteriophage 21 codon optimized Rz gene
https://synbiohub.org/public/igem/BBa_K1695017/1,BBa_K1695017,Riboswitch +  Bacteriophage &#955; codon optimized S gene
https://synbiohub.org/public/igem/BBa_K1695018/1,BBa_K1695018,Riboswitch + Bacteriophage &#955; codon optimized R gene
https://synbiohub.org/public/igem/BBa_K1695020/1,BBa_K1695020,Riboswitch + Bacteriophage &#955; codon optimized Rz gene
https://synbiohub.org/public/igem/BBa_K1695026/1,BBa_K1695026,RBS + Bacteriophage &#955; S gene
https://synbiohub.org/public/igem/BBa_K1695027/1,BBa_K1695027,RBS + Bacteriophage  &#955; S mutant gene
https://synbiohub.org/public/igem/BBa_K1695028/1,BBa_K1695028,RBS + Bacteriophage &#955; R gene
https://synbiohub.org/public/igem/BBa_K1695029/1,BBa_K1695029,RBS + Bacteriophage &#955; codon-optimized S gene
https://synbiohub.org/public/igem/BBa_K1695030/1,BBa_K1695030,RBS + Bacteriophage &#955; codon-optimized S mutant gene
https://synbiohub.org/public/igem/BBa_K1695031/1,BBa_K1695031,RBS + Bacteriophage &#955; Rz gene
https://synbiohub.org/public/igem/BBa_K1695032/1,BBa_K1695032,RBS + Bacteriophage &#955; codon-optimized R gene
https://synbiohub.org/public/igem/BBa_K1695033/1,BBa_K1695033,RBS + Bacteriophage &#955; codon optimized Rz gene
https://synbiohub.org/public/igem/BBa_K1638030/1,BBa_K1638030,Leucine zipper fused to T25 domain of <i>cyaA</i> with cAMP-induced RFP generator
https://synbiohub.org/public/igem/BBa_K1638031/1,BBa_K1638031,Leucine zipper fused to T18 domain of <i>cyaA</i> with cAMP-induced RFP generator
https://synbiohub.org/public/igem/BBa_K1747003/1,BBa_K1747003,GFP generator regulated by FadR repressor
https://synbiohub.org/public/igem/BBa_K1585321/1,BBa_K1585321,glgCAB for polycistronic expression of glycogen synthesis genes in E.coli
https://synbiohub.org/public/igem/BBa_K1720003/1,BBa_K1720003,Human phosphodiesterase 5A gene silencing device NO.1
https://synbiohub.org/public/igem/BBa_K1720004/1,BBa_K1720004,Human phosphodiesterase 5A gene silencing device NO.2
https://synbiohub.org/public/igem/BBa_K1720005/1,BBa_K1720005,Human phosphodiesterase 5A gene silencing device NO.3
https://synbiohub.org/public/igem/BBa_K1606029/1,BBa_K1606029,Gluten Updated m-cherry reporter gene
https://synbiohub.org/public/igem/BBa_K1799018/1,BBa_K1799018,AHL-Induced RFP Generator
https://synbiohub.org/public/igem/BBa_K1747013/1,hpd,hpd gene from Arabidopsis thaliana
https://synbiohub.org/public/igem/BBa_K1631015/1,BBa_K1631015,"Colicin Lysis Protein Generator (medium, constitutive)"
https://synbiohub.org/public/igem/BBa_K1688003/1,BBa_K1688003,RhlB Gene
https://synbiohub.org/public/igem/BBa_K1688001/1,BBa_K1688001,Mono-rhamnolipid genes
https://synbiohub.org/public/igem/BBa_K1588002/1,BBa_K1588002,tetravalen protein with epitopes from dengue virus to generate immune response
https://synbiohub.org/public/igem/BBa_K1780017/1,BBa_K1780017,"Killer Gene, induced by AHL"
https://synbiohub.org/public/igem/BBa_K1614021/1,BBa_K1614021,Software-generated p53 aptamer
https://synbiohub.org/public/igem/BBa_K1614023/1,BBa_K1614023,Actin AptaBody with software generated actin aptamer (8mer)
https://synbiohub.org/public/igem/BBa_K1614024/1,BBa_K1614024,Actin AptaBody with software generated actin aptamer (17mer)
https://synbiohub.org/public/igem/BBa_K1588003/1,BBa_K1588003,tetravalen protein with epitopes from dengue virus to generate immune response
https://synbiohub.org/public/igem/BBa_K1588004/1,BBa_K1588004,tetravalen protein with epitopes from dengue virus to generate immune response
https://synbiohub.org/public/igem/BBa_K1588005/1,BBa_K1588005,tetravalent protein with epitopes from dengue virus to generate immune response
